Partido_x,Localidad_x,link Indec,Velocidad (Mbps),Provincia,Accesos,Hogares Con Internet,Proyeccion_Nuevo_Acceso,KPI_Incremento_Internet
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,0.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,0.5,2.0,2.0,2.04,2.0000000000000018
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,0.75,19.0,19.0,19.38,1.999999999999995
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,3.0,85.0,85.0,86.7,2.0000000000000036
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,3.5,145.0,145.0,147.9,2.000000000000004
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,6.0,76.0,76.0,77.52,1.999999999999995
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,8.0,299.0,299.0,304.98,2.0000000000000058
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,10.0,288.0,288.0,293.76,1.999999999999997
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,15.0,415.0,415.0,423.3,2.0000000000000027
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,20.0,1796.0,1796.0,1831.92,2.000000000000004
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,25.0,144.0,144.0,146.88,1.999999999999997
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,30.0,1501.0,1501.0,1531.02,1.9999999999999987
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,40.0,27.0,27.0,27.54,1.999999999999997
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,50.0,647.0,647.0,659.94,2.0000000000000084
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,80.0,9.0,9.0,9.18,1.999999999999997
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,100.0,693.0,693.0,706.86,2.000000000000002
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,300.0,95.0,95.0,96.9,2.0000000000000058
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,500.0,3.0,3.0,3.06,2.0000000000000018
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010.0,10.0,59.0,59.0,60.18,1.9999999999999993
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010.0,20.0,5.0,5.0,5.1,1.9999999999999927
BUENOS AIRES,25 de Mayo,Del Valle,6854020.0,0.5,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,25 de Mayo,Del Valle,6854020.0,3.0,181.0,181.0,184.62,2.0000000000000027
BUENOS AIRES,25 de Mayo,Del Valle,6854020.0,10.0,10.0,10.0,10.2,1.9999999999999927
BUENOS AIRES,25 de Mayo,Ernestina,6854030.0,5.0,75.0,75.0,76.5,2.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,2.0,106.0,106.0,108.12,2.000000000000004
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,3.0,3.0,3.0,3.06,2.0000000000000018
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,4.0,56.0,56.0,57.120000000000005,2.000000000000008
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,5.0,7.0,7.0,7.140000000000001,2.000000000000008
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,6.0,3.0,3.0,3.06,2.0000000000000018
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,8.0,4.0,4.0,4.08,2.0000000000000018
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,10.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,65.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050.0,3.0,5.0,5.0,5.1,1.9999999999999927
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,2.0,174.0,174.0,177.48,1.9999999999999942
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,3.0,32.0,32.0,32.64,2.0000000000000018
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,4.0,9.0,9.0,9.18,1.999999999999997
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,5.0,8.0,8.0,8.16,2.0000000000000018
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,6.0,914.0,914.0,932.28,1.999999999999997
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,10.0,2.0,2.0,2.04,2.0000000000000018
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,15.0,322.0,322.0,328.44,1.9999999999999993
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,25.0,29.0,29.0,29.580000000000002,2.000000000000006
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,50.0,20.0,20.0,20.4,1.9999999999999927
BUENOS AIRES,25 de Mayo,Pedernales,6854070.0,6.0,2.0,2.0,2.04,2.0000000000000018
BUENOS AIRES,25 de Mayo,Pedernales,6854070.0,10.0,177.0,177.0,180.54,1.9999999999999956
BUENOS AIRES,25 de Mayo,Pedernales,6854070.0,15.0,3.0,3.0,3.06,2.0000000000000018
BUENOS AIRES,25 de Mayo,Pedernales,6854070.0,50.0,25.0,25.0,25.5,2.0
BUENOS AIRES,25 de Mayo,San Enrique,6854080.0,20.0,11.0,11.0,11.22,2.0000000000000058
BUENOS AIRES,25 de Mayo,Valdés,6854090.0,10.0,245.0,245.0,249.9,2.0000000000000027
BUENOS AIRES,25 de Mayo,Valdés,6854090.0,20.0,18.0,18.0,18.36,1.999999999999997
BUENOS AIRES,9 de Julio,12 de Octubre,6588030.0,3.0,11.0,11.0,11.22,2.0000000000000058
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,0.75,9.0,9.0,9.18,1.999999999999997
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,3.0,198.0,198.0,201.96,2.000000000000004
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,3.5,114.0,114.0,116.28,2.000000000000001
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,5.0,154.0,154.0,157.08,2.000000000000008
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,6.0,4824.0,4824.0,4920.4800000000005,2.0000000000000098
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,7.0,235.0,235.0,239.70000000000002,2.000000000000007
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,8.0,98.0,98.0,99.96000000000001,2.000000000000008
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,10.0,2669.0,2669.0,2722.38,2.000000000000004
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,15.0,1239.0,1239.0,1263.78,1.999999999999998
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,20.0,1144.0,1144.0,1166.88,2.0000000000000093
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,30.0,362.0,362.0,369.24,2.0000000000000027
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,50.0,631.0,631.0,643.62,2.000000000000001
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,100.0,1843.0,1843.0,1879.8600000000001,2.000000000000007
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,300.0,1068.0,1068.0,1089.3600000000001,2.000000000000012
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,500.0,33.0,33.0,33.660000000000004,2.000000000000011
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,1000.0,14.0,14.0,14.280000000000001,2.000000000000008
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010.0,3.0,510.0,510.0,520.2,2.000000000000009
BUENOS AIRES,9 de Julio,Dudignac,6588040.0,1.0,8.0,8.0,8.16,2.0000000000000018
BUENOS AIRES,9 de Julio,Dudignac,6588040.0,3.0,36.0,36.0,36.72,1.999999999999997
BUENOS AIRES,9 de Julio,Dudignac,6588040.0,4.0,247.0,247.0,251.94,1.9999999999999991
BUENOS AIRES,9 de Julio,Dudignac,6588040.0,6.0,46.0,46.0,46.92,2.000000000000004
BUENOS AIRES,9 de Julio,Dudignac,6588040.0,10.0,52.0,52.0,53.04,1.9999999999999982
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060.0,1.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060.0,2.0,193.0,193.0,196.86,2.000000000000007
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060.0,6.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060.0,10.0,2.0,2.0,2.04,2.0000000000000018
BUENOS AIRES,9 de Julio,Morea,6588080.0,3.0,130.0,130.0,132.6,1.9999999999999956
BUENOS AIRES,9 de Julio,Patricios,6588110.0,3.0,50.0,50.0,51.0,2.0
BUENOS AIRES,9 de Julio,Patricios,6588110.0,6.0,16.0,16.0,16.32,2.0000000000000018
BUENOS AIRES,9 de Julio,Patricios,6588110.0,10.0,44.0,44.0,44.88,2.0000000000000058
BUENOS AIRES,9 de Julio,Patricios,6588110.0,15.0,21.0,21.0,21.42,2.000000000000008
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,3.0,42.0,42.0,42.84,2.000000000000008
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,6.0,6.0,6.0,6.12,2.0000000000000018
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,10.0,37.0,37.0,37.74,2.0000000000000053
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,15.0,29.0,29.0,29.580000000000002,2.000000000000006
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,20.0,32.0,32.0,32.64,2.0000000000000018
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,30.0,11.0,11.0,11.22,2.0000000000000058
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,50.0,3.0,3.0,3.06,2.0000000000000018
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,3.0,763.0,763.0,778.26,1.9999999999999987
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,3.5,20.0,20.0,20.4,1.9999999999999927
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,7.0,103.0,103.0,105.06,2.000000000000002
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,8.0,36.0,36.0,36.72,1.999999999999997
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,15.0,1231.0,1231.0,1255.6200000000001,2.0000000000000098
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,30.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,31.0,266.0,266.0,271.32,1.9999999999999973
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,50.0,820.0,820.0,836.4,1.9999999999999973
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,61.0,31.0,31.0,31.62,2.000000000000003
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,100.0,2.0,2.0,2.04,2.0000000000000018
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020.0,3.0,208.0,208.0,212.16,1.9999999999999982
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050.0,3.0,60.0,60.0,61.2,2.000000000000005
BUENOS AIRES,Adolfo Alsina,Maza,6007070.0,0.0,10.0,10.0,10.2,1.9999999999999927
BUENOS AIRES,Adolfo Alsina,Maza,6007070.0,0.5,2.0,2.0,2.04,2.0000000000000018
BUENOS AIRES,Adolfo Alsina,Maza,6007070.0,5.0,386.0,386.0,393.72,2.000000000000007
BUENOS AIRES,Adolfo Alsina,Maza,6007070.0,10.0,6.0,6.0,6.12,2.0000000000000018
BUENOS AIRES,Adolfo Alsina,Maza,6007070.0,20.0,2.0,2.0,2.04,2.0000000000000018
BUENOS AIRES,Adolfo Alsina,Rivera,6007080.0,20.0,1252.0,1252.0,1277.04,1.9999999999999973
BUENOS AIRES,Adolfo Alsina,Rivera,6007080.0,35.0,26.0,26.0,26.52,1.9999999999999982
BUENOS AIRES,Adolfo Alsina,Rivera,6007080.0,50.0,31.0,31.0,31.62,2.000000000000003
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,0.75,3.0,3.0,3.06,2.0000000000000018
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,3.5,147.0,147.0,149.94,1.9999999999999982
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,8.0,447.0,447.0,455.94,1.9999999999999993
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,10.0,122.0,122.0,124.44,1.9999999999999982
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,12.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,15.0,1422.0,1422.0,1450.44,2.000000000000004
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,30.0,44.0,44.0,44.88,2.0000000000000058
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,50.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020.0,4.0,632.0,632.0,644.64,1.999999999999998
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020.0,7.0,7.0,7.0,7.140000000000001,2.000000000000008
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020.0,8.0,28.0,28.0,28.560000000000002,2.000000000000008
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020.0,10.0,45.0,45.0,45.9,1.999999999999997
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020.0,15.0,5.0,5.0,5.1,1.9999999999999927
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030.0,4.0,46.0,46.0,46.92,2.000000000000004
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040.0,3.0,12.0,12.0,12.24,2.0000000000000018
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040.0,4.0,2.0,2.0,2.04,2.0000000000000018
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010.0,0.75,2.0,2.0,2.04,2.0000000000000018
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010.0,2.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010.0,3.5,40.0,40.0,40.8,1.9999999999999927
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010.0,5.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010.0,8.0,116.0,116.0,118.32000000000001,2.000000000000006
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010.0,15.0,302.0,302.0,308.04,2.0000000000000067
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010.0,100.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,Alberti,Coronel Seguí,6021020.0,15.0,5.0,5.0,5.1,1.9999999999999927
BUENOS AIRES,Alberti,Mechita,6021030.0,3.0,275.0,275.0,280.5,2.0
BUENOS AIRES,Alberti,Mechita,6021030.0,5.0,10.0,10.0,10.2,1.9999999999999927
BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),6021070.0,15.0,24.0,24.0,24.48,2.0000000000000018
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,0.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,0.256,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,0.5,10.0,10.0,10.2,1.9999999999999927
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,0.512,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,0.75,34.0,34.0,34.68,1.9999999999999991
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,1.0,21.0,21.0,21.42,2.000000000000008
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,2.0,8.0,8.0,8.16,2.0000000000000018
